C-axis rear bearing,A-axis rear bearing,y2
22.20233333,24.329,0
22.20233333,24.329,-2.158333333
22.166,24.28183333,-1.863333333
22.13783333,24.244,-2.965
22.101,24.20016667,-1.991666667
22.055,24.1705,-2.12
21.995,24.1325,-1.821666667
21.98366667,24.12433333,-1.611666667
21.945,24.081,-2.143333333
21.90233333,24.04633333,-1.223333333
21.84316667,24.01216667,-0.883333333
21.8285,24.00666667,-1.835
21.83,23.99,-1.013333333
21.795,23.94333333,-1.281666667
21.752,23.90466667,-1.111666667
21.73383333,23.878,-0.701666667
21.72583333,23.858,-1.578333333
21.69516667,23.8315,-0.71
21.66766667,23.83166667,-0.776666667
21.6565,23.78816667,-1.636666667
21.64883333,23.7455,-0.711666667
21.64533333,23.7205,-0.845
21.60033333,23.7225,-0.821666667
21.58666667,23.72116667,-0.418333333
21.58066667,23.67716667,-1.325
21.58216667,23.68666667,-0.2
21.55316667,23.6445,-0.155
21.52966667,23.61433333,-0.986666667
21.52866667,23.611,-0.341666667
21.5255,23.60883333,-0.728333333
21.48866667,23.58333333,-0.663333333
21.4655,23.569,-0.381666667
21.4575,23.556,-0.81
21.4525,23.53066667,0.023333333
21.43316667,23.515,-0.366666667
21.4145,23.493,-0.275
21.40066667,23.506,-0.683333333
21.4115,23.4915,-0.333333333
21.4025,23.47266667,-0.63
21.36216667,23.47866667,-0.421666667
21.3635,23.47816667,-0.215
21.37,23.45083333,-0.975
21.34266667,23.43183333,-0.028333333
21.31,23.40033333,-0.461666667
21.301,23.40083333,-0.576666667
21.30633333,23.40566667,0.476666667
21.30366667,23.40366667,-1.005
21.281,23.39166667,0.203333333
21.2755,23.37,0.308333333
21.29,23.36,-0.866666667
21.287,23.35216667,0.693333333
21.23983333,23.34716667,-0.08
21.22916667,23.34916667,-0.533333333
21.265,23.34233333,0.04
21.24416667,23.32933333,-0.66
21.20083333,23.33016667,0.386666667
21.20233333,23.323,-0.071666667
21.2025,23.3135,-0.481666667
21.18133333,23.2845,0.115
21.17266667,23.2955,-0.378333333
21.17033333,23.29433333,-0.42
21.184,23.275,-0.215
21.18683333,23.267,0.181666667
21.16816667,23.264,-1.173333333
21.1645,23.29133333,0.386666667
21.168,23.2685,-0.263333333
21.16933333,23.2765,-0.621666667
21.142,23.3105,0.455
21.137,23.30216667,-0.505
21.14316667,23.29516667,-0.613333333
21.13683333,23.31116667,-0.45
21.12166667,23.28816667,-0.345
21.097,23.28533333,-0.841666667
21.11783333,23.27166667,-0.843333333
21.121,23.2345,-0.316666667
21.1065,23.234,-1.1
21.0895,23.22666667,-0.52
21.11583333,23.2215,-0.836666667
21.1175,23.19666667,-1.021666667
21.0945,23.16833333,-0.123333333
21.06683333,23.16983333,-1.57
21.0805,23.15933333,-0.485
21.07533333,23.13233333,-0.068333333
21.06066667,23.11066667,-1.153333333
21.06,23.12916667,-0.341666667
21.0635,23.119,-0.973333333
21.0895,23.1175,-1.133333333
21.06066667,23.12116667,-0.573333333
21.04266667,23.10533333,-0.718333333
21.03783333,23.106,-0.596666667
21.04033333,23.0995,-1.006666667
21.04066667,23.0825,0.118333333
21.022,23.084,-0.943333333
21.0395,23.1,-1.001666667
21.04,23.096,-0.555
21.029,23.07866667,-0.875
21.0085,23.0875,-0.948333333
21.006,23.09366667,-0.811666667
21.02783333,23.08566667,-0.871666667
21.016,23.092,-1.101666667
21.00766667,23.09483333,-0.655
21.01533333,23.096,-1.128333333
21.02916667,23.099,-0.941666667
21.00183333,23.08333333,-0.695
20.9955,23.1025,-0.945
21.00233333,23.11583333,-1.435
21.01433333,23.132,-0.661666667
21.00483333,23.159,-0.845
21.00416667,23.199,-1.131666667
21.02916667,23.2135,-0.708333333
21.04266667,23.2115,-0.766666667
21.04666667,23.2,-0.95
21.04233333,23.213,-0.728333333
21.0495,23.2025,-0.773333333
21.06766667,23.21033333,-1.28
21.04883333,23.187,-0.41
21.04,23.191,-0.986666667
21.04433333,23.191,-1.023333333
21.04866667,23.1735,-0.718333333
21.04033333,23.15683333,-0.605
21.036,23.19266667,-1.395
21.039,23.1875,-0.885
21.04,23.1975,-0.64
